"","Year","Country","Code","Latitude","Longitude","Average Temperature","CO2 Emissions","Change In Temperature"
"1",1951,"Afghanistan","AFG",33.93911,67.709953,13.96775,91600,0.924250000000001
"2",1952,"Afghanistan","AFG",33.93911,67.709953,14.1754166666667,91600,0.207666666666666
"3",1953,"Afghanistan","AFG",33.93911,67.709953,14.65075,106256,0.475333333333333
"4",1954,"Afghanistan","AFG",33.93911,67.709953,13.6913333333333,106256,-0.959416666666666
"5",1955,"Afghanistan","AFG",33.93911,67.709953,14.6425833333333,153888,0.95125
"6",1956,"Afghanistan","AFG",33.93911,67.709953,14.1910833333333,183200,-0.451500000000001
"7",1957,"Afghanistan","AFG",33.93911,67.709953,12.7771666666667,293120,-1.41391666666667
"8",1958,"Afghanistan","AFG",33.93911,67.709953,14.71675,329760,1.93958333333333
"9",1959,"Afghanistan","AFG",33.93911,67.709953,14.1525833333333,384571,-0.564166666666667
"10",1960,"Afghanistan","AFG",33.93911,67.709953,13.9854166666667,413885,-0.167166666666667
"11",1961,"Afghanistan","AFG",33.93911,67.709953,14.0649166666667,490798,0.0794999999999995
"12",1962,"Afghanistan","AFG",33.93911,67.709953,13.7686666666667,688594,-0.296250000000001
"13",1963,"Afghanistan","AFG",33.93911,67.709953,15.0334166666667,706736,1.26475
"14",1964,"Afghanistan","AFG",33.93911,67.709953,13.0849166666667,838551,-1.9485
"15",1965,"Afghanistan","AFG",33.93911,67.709953,14.1018333333333,1006917,1.01691666666667
"16",1966,"Afghanistan","AFG",33.93911,67.709953,14.343,1091159,0.241166666666667
"17",1967,"Afghanistan","AFG",33.93911,67.709953,13.66325,1281865,-0.67975
"18",1968,"Afghanistan","AFG",33.93911,67.709953,13.7623333333333,1223391,0.0990833333333327
"19",1969,"Afghanistan","AFG",33.93911,67.709953,13.8050833333333,941232,0.0427500000000016
"20",1970,"Afghanistan","AFG",33.93911,67.709953,14.7830833333333,1670397,0.977999999999998
"21",1971,"Afghanistan","AFG",33.93911,67.709953,14.8235,1893581,0.040416666666669
"22",1972,"Afghanistan","AFG",33.93911,67.709953,12.5471666666667,1530408,-2.27633333333333
"23",1973,"Afghanistan","AFG",33.93911,67.709953,14.2355,1635586,1.68833333333333
"24",1974,"Afghanistan","AFG",33.93911,67.709953,13.31675,1913339,-0.918750000000001
"25",1975,"Afghanistan","AFG",33.93911,67.709953,13.5480833333333,2121616,0.231333333333332
"26",1976,"Afghanistan","AFG",33.93911,67.709953,13.7085833333333,1981180,0.160500000000001
"27",1977,"Afghanistan","AFG",33.93911,67.709953,14.8054166666667,2384485,1.09683333333333
"28",1978,"Afghanistan","AFG",33.93911,67.709953,14.3296666666667,2153617,-0.47575
"29",1979,"Afghanistan","AFG",33.93911,67.709953,14.2620833333333,2233153,-0.0675833333333333
"30",1980,"Afghanistan","AFG",33.93911,67.709953,14.8873333333333,1756466,0.625249999999999
"31",1981,"Afghanistan","AFG",33.93911,67.709953,14.8600833333333,1978719,-0.0272499999999987
"32",1982,"Afghanistan","AFG",33.93911,67.709953,13.7330833333333,2094916,-1.127
"33",1983,"Afghanistan","AFG",33.93911,67.709953,14.6148333333333,2520014,0.881749999999998
"34",1984,"Afghanistan","AFG",33.93911,67.709953,14.2458333333333,2822030,-0.369
"35",1985,"Afghanistan","AFG",33.93911,67.709953,14.88875,3501772,0.642916666666666
"36",1986,"Afghanistan","AFG",33.93911,67.709953,14.2231666666667,3134093,-0.665583333333332
"37",1987,"Afghanistan","AFG",33.93911,67.709953,14.984,3114380,0.760833333333332
"38",1988,"Afghanistan","AFG",33.93911,67.709953,15.389,2857483,0.405000000000001
"39",1989,"Afghanistan","AFG",33.93911,67.709953,14.12575,2765475,-1.26325
"40",1990,"Afghanistan","AFG",33.93911,67.709953,14.9933333333333,2603238,0.867583333333332
"41",1991,"Afghanistan","AFG",33.93911,67.709953,14.37075,2427366,-0.622583333333333
"42",1992,"Afghanistan","AFG",33.93911,67.709953,14.0560833333333,1379462,-0.314666666666666
"43",1993,"Afghanistan","AFG",33.93911,67.709953,14.43925,1333055,0.383166666666666
"44",1994,"Afghanistan","AFG",33.93911,67.709953,14.75475,1281602,0.3155
"45",1995,"Afghanistan","AFG",33.93911,67.709953,14.8591666666667,1230463,0.104416666666667
"46",1996,"Afghanistan","AFG",33.93911,67.709953,14.426,1164920,-0.433166666666667
"47",1997,"Afghanistan","AFG",33.93911,67.709953,14.904,1084127,0.478
"48",1998,"Afghanistan","AFG",33.93911,67.709953,15.1325,1029157,0.2285
"49",1999,"Afghanistan","AFG",33.93911,67.709953,15.38875,809512,0.256250000000001
"50",2000,"Afghanistan","AFG",33.93911,67.709953,15.4978333333333,757672,0.109083333333333
"51",2001,"Afghanistan","AFG",33.93911,67.709953,15.7780833333333,797962,0.280249999999999
"52",2002,"Afghanistan","AFG",33.93911,67.709953,15.5376666666667,1051609,-0.240416666666665
"53",2003,"Afghanistan","AFG",33.93911,67.709953,14.916,1185951,-0.621666666666668
"54",2004,"Afghanistan","AFG",33.93911,67.709953,15.7709166666667,889167,0.854916666666666
"55",2005,"Afghanistan","AFG",33.93911,67.709953,14.98,1303267,-0.790916666666666
"56",2006,"Afghanistan","AFG",33.93911,67.709953,15.5955833333333,1635378,0.615583333333333
"57",2007,"Afghanistan","AFG",33.93911,67.709953,15.1061666666667,2268605,-0.489416666666667
"58",2008,"Afghanistan","AFG",33.93911,67.709953,15.2165,4199530,0.110333333333333
"59",2009,"Afghanistan","AFG",33.93911,67.709953,15.25775,6739976,0.0412499999999998
"60",2010,"Afghanistan","AFG",33.93911,67.709953,15.8286666666667,8397779,0.570916666666667
"61",2011,"Afghanistan","AFG",33.93911,67.709953,15.518,12105788,-0.310666666666666
"62",2012,"Afghanistan","AFG",33.93911,67.709953,14.4815833333333,10218514,-1.03641666666667
"63",2013,"Afghanistan","AFG",33.93911,67.709953,16.533625,8440766,2.05204166666667
"64",1951,"Albania","ALB",41.153332,20.168331,13.5698333333333,403040,-0.243
"65",1952,"Albania","ALB",41.153332,20.168331,13.5739166666667,373728,0.00408333333333388
"66",1953,"Albania","ALB",41.153332,20.168331,12.5863333333333,414032,-0.987583333333333
"67",1954,"Albania","ALB",41.153332,20.168331,12.4500833333333,501968,-0.13625
"68",1955,"Albania","ALB",41.153332,20.168331,13.1480833333333,663184,0.697999999999999
"69",1956,"Albania","ALB",41.153332,20.168331,12.1723333333333,839056,-0.97575
"70",1957,"Albania","ALB",41.153332,20.168331,13.0784166666667,1505904,0.906083333333335
"71",1958,"Albania","ALB",41.153332,20.168331,13.1945,1201792,0.116083333333332
"72",1959,"Albania","ALB",41.153332,20.168331,12.4055833333333,1443616,-0.788916666666665
"73",1960,"Albania","ALB",41.153332,20.168331,13.3350833333333,2022528,0.929499999999999
"74",1961,"Albania","ALB",41.153332,20.168331,13.31675,2279008,-0.0183333333333326
"75",1962,"Albania","ALB",41.153332,20.168331,13.06875,2462208,-0.248000000000001
"76",1963,"Albania","ALB",41.153332,20.168331,13.0858333333333,2081152,0.0170833333333338
"77",1964,"Albania","ALB",41.153332,20.168331,12.5153333333333,2015200,-0.570499999999999
"78",1965,"Albania","ALB",41.153332,20.168331,12.3784166666667,2172752,-0.136916666666668
"79",1966,"Albania","ALB",41.153332,20.168331,13.2045833333333,2550144,0.826166666666667
"80",1967,"Albania","ALB",41.153332,20.168331,12.62175,2678384,-0.582833333333335
"81",1968,"Albania","ALB",41.153332,20.168331,12.8695833333333,3070432,0.247833333333334
"82",1969,"Albania","ALB",41.153332,20.168331,12.8029166666667,3242640,-0.0666666666666664
